mu,epsilon,ns,nt,m,xblocks,yblocks,tblocks,random_eigen,seed_spatial,seed_sim,f1,f2,f3,f4,f5,f6
xyt3,noise,50,100,100,100,50:50,50:50,FALSE,123,321,0.013702589942239248,0.00856512265192087,8.658259020218301e-4,1.9141710392644076e-18,1.9633271482146165e-19,-6.590432166147792e-19
xyt3,noise,50,100,100,50:50,100,50:50,FALSE,123,321,0.01374864179638694,0.008518896977865243,7.275972179045119e-4,1.5930955858278426e-18,8.784439590315192e-20,-7.427032220184004e-19
xyt3,noise,50,100,100,50:50,50:50,100,FALSE,123,321,0.013823097337917948,0.00825689048119077,8.332445060806083e-4,1.2092062037408723e-18,1.1156352151067419e-19,-6.691892860999604e-19
xyt3,noise,50,100,100,50:50,50:50,50:50,FALSE,123,321,0.01612402087198623,0.011462643028823062,0.007508980759347219,0.0015911885130957225,6.266307206747392e-4,1.3578056955363332e-4
xyt3,noise,50,100,100,33:33:34,33:33:34,33:33:34,FALSE,123,321,0.01696313734323553,0.012556394980795789,0.009049057241197922,0.005814627270773958,0.004047347941894678,0.002584446327462702
xyt3,noise,50,100,100,25:25:25:25,25:25:25:25,25:25:25:25,FALSE,123,321,0.027545524395660895,0.02273372412550569,0.018311916061295404,0.013305875584740107,0.010272970863783107,0.007746748441446525
xyt3,noise,50,100,100,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,FALSE,123,321,0.10614989237936524,0.09794910279403225,0.09112131493932081,0.08528730950810681,0.07890268069884082,0.07216955180909035
xyt3,seplow,50,100,100,100,50:50,50:50,FALSE,123,321,0.02216971264702356,0.009558019524763206,0.0018912016689957131,2.4239269974421976e-18,7.227164785090688e-20,-1.2408987693299057e-18
xyt3,seplow,50,100,100,50:50,100,50:50,FALSE,123,321,0.022885375742329555,0.010089827072203768,0.0015754358887493753,1.958231158099317e-18,-1.7554341098690386e-20,-1.0918593042342564e-18
xyt3,seplow,50,100,100,50:50,50:50,100,FALSE,123,321,0.020326113280118935,0.00939540342303769,0.0016860525387932001,2.265062052980708e-18,1.5191989807946482e-19,-8.976686626973203e-19
xyt3,seplow,50,100,100,50:50,50:50,50:50,FALSE,123,321,0.02996261106374663,0.015701873844515574,0.008809732212242368,0.00329050190556534,9.287115636385293e-4,1.749777497264333e-4
xyt3,seplow,50,100,100,33:33:34,33:33:34,33:33:34,FALSE,123,321,0.040498170132514874,0.025255298310307452,0.0161752005654575,0.010380899464334487,0.005908232617612694,0.002806901582206118
xyt3,seplow,50,100,100,25:25:25:25,25:25:25:25,25:25:25:25,FALSE,123,321,0.0670479274153087,0.04465454811783788,0.03230753447919238,0.022713839869303965,0.015715827880391716,0.008256645820042565
xyt3,seplow,50,100,100,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,FALSE,123,321,0.19635926262244732,0.1568321323894416,0.12781870724350827,0.10770300654185459,0.08606866624844746,0.06370905884371561
xyt3,sephigh,50,100,100,100,50:50,50:50,FALSE,123,321,0.1264871040687111,0.03422662270498145,0.008355671120194306,7.235791451992252e-18,-2.3264747205998313e-19,-5.701673790839029e-18
xyt3,sephigh,50,100,100,50:50,100,50:50,FALSE,123,321,0.1261643321237824,0.038980837518737356,0.007933455303419492,1.1684156512863807e-17,9.329848684850072e-19,-5.235739316771699e-18
xyt3,sephigh,50,100,100,50:50,50:50,100,FALSE,123,321,0.06189352150200831,0.020969854491501756,0.0039070493794249785,3.152210503468792e-18,-5.53140985867502e-20,-3.228930706695847e-18
xyt3,sephigh,50,100,100,50:50,50:50,50:50,FALSE,123,321,0.14735319482098963,0.06144686308794848,0.028342527134624554,0.010162378290528629,0.003068852599400089,5.939502358407686e-4
xyt3,sephigh,50,100,100,33:33:34,33:33:34,33:33:34,FALSE,123,321,0.2021874183657742,0.1172287506455408,0.06452886419573677,0.0369925723110861,0.01848101683836067,0.007299673158877921
xyt3,sephigh,50,100,100,25:25:25:25,25:25:25:25,25:25:25:25,FALSE,123,321,0.27607242255447234,0.17237261298468298,0.11763746533861681,0.07588646841473218,0.04392799225970737,0.020757641916575243
xyt3,sephigh,50,100,100,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,FALSE,123,321,0.4851761286548987,0.392674302741723,0.32782046370297185,0.2668488691232511,0.20652209327711316,0.15098844633065528
xyt3,noise,50,100,100,100,100,100,TRUE,123,321,1.1697332240388456e-29,2.9416818004594495e-45,2.7331804964454255e-46,9.719215766056729e-48,-7.617219138797119e-48,-1.3181017400012773e-46
xyt3,seplow,50,100,100,100,100,100,TRUE,123,321,1.14872045157706e-28,6.057458171870439e-44,3.878354958465691e-46,1.1823533043218448e-46,-2.2420795653286096e-45,-5.134063304762008e-45
xyt3,sephigh,50,100,100,100,100,100,TRUE,123,321,7.748510262894032e-29,1.8318454687135312e-44,5.981689947793732e-45,-3.607915718997332e-47,-1.0235004531245475e-45,-3.5290674557631376e-45
