mu,epsilon,ns,nt,m,xblocks,yblocks,tblocks,random_eigen,seed_spatial,seed_sim,stationary_lower_quartile,stationary_median,stationary_upper_quartile,nonstationary_lower_quartile,nonstationary_median,nonstationary_upper_quartile
xyt3,sephigh,50,100,100,50:50,100,50:50,FALSE,123,321,0.7679166294484762,0.9701981297436642,1.0776669645512493,0.6610552803639077,0.9304452875337819,1.035091695027601
xyt3,sephigh,50,100,100,50:50,50:50,100,FALSE,123,321,0.5863472988060037,0.8285003731116903,1.0113224616942393,0.6136340780731011,0.8798645239683671,1.0119962134251266
xyt3,sephigh,50,100,100,50:50,50:50,50:50,FALSE,123,321,0.6330981689788038,0.8532309812545172,1.0278618026554718,0.4326288007824006,0.9114273773470886,1.0112919093840314
xyt3,sephigh,50,100,100,33:33:34,33:33:34,33:33:34,FALSE,123,321,0.7168490656262799,0.9986721269740464,1.1633190943335585,0.6347685103661408,0.8908670650650445,1.0346449589894402
xyt3,sephigh,50,100,100,25:25:25:25,25:25:25:25,25:25:25:25,FALSE,123,321,0.74787336630181,0.9549301184112334,1.0926891650771584,0.6682641428744355,0.9506930907140242,1.064036468349996
xyt3,sephigh,50,100,100,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,FALSE,123,321,0.7561594701141842,0.9503756116224765,1.1896727534189946,0.777147266119252,0.9144357170420911,1.081721407690744
xyt4,noise,50,100,100,100,50:50,50:50,FALSE,123,321,0.8399994155888517,1.0888479753912113,1.2477033661328705,0.7362268054961835,1.0129640975575867,1.210478009387147
xyt4,noise,50,100,100,50:50,100,50:50,FALSE,123,321,0.8965642186518271,1.0535400873019007,1.260249328144692,0.8580407390168817,1.0840546013401973,1.233908227597338
xyt4,noise,50,100,100,50:50,50:50,100,FALSE,123,321,0.8043348032035149,1.0693770910359788,1.2816251222722115,0.8923617351732518,1.0628712722399012,1.2761313912465324
xyt4,noise,50,100,100,50:50,50:50,50:50,FALSE,123,321,0.6022420185325656,0.8442762784400838,1.007711530312346,0.5979319589165079,0.8509110600041665,1.026421840160688
xyt4,noise,50,100,100,33:33:34,33:33:34,33:33:34,FALSE,123,321,0.7009771722548443,0.9747547225816571,1.1440363681659493,0.7179295757396036,0.9589466941024178,1.1160358274140707
